DATE,W823RC1
2002-07-01,448.0666666666666667
2002-10-01,451.2000000000000000
2003-01-01,458.1333333333333333
2003-04-01,463.1000000000000000
2003-07-01,464.8000000000000000
2003-10-01,468.1666666666666667
2004-01-01,479.6666666666666667
2004-04-01,484.8000000000000000
2004-07-01,486.1666666666666667
2004-10-01,491.4000000000000000
2005-01-01,506.5000000000000000
2005-04-01,512.8666666666666667
2005-07-01,514.0666666666666667
2005-10-01,517.5000000000000000
2006-01-01,538.0333333333333333
2006-04-01,543.6333333333333333
2006-07-01,546.1000000000000000
2006-10-01,548.6000000000000000
2007-01-01,568.3000000000000000
2007-04-01,575.0333333333333333
2007-07-01,578.2333333333333333
2007-10-01,581.1000000000000000
2008-01-01,597.3333333333333333
2008-04-01,602.8666666666666667
2008-07-01,608.8666666666666667
