DATE,IPMAN
2015-07-01,100.2911666666666667
2015-10-01,99.6138000000000000
2016-01-01,99.5100000000000000
2016-04-01,99.2307666666666667
2016-07-01,99.2658333333333333
2016-10-01,99.4036666666666667
2017-01-01,99.4225666666666667
2017-04-01,100.2077333333333333
2017-07-01,99.6805333333333333
2017-10-01,100.6891666666666667
2018-01-01,100.8104666666666667
2018-04-01,101.4882000000000000
2018-07-01,101.9121000000000000
2018-10-01,101.4834666666666667
2019-01-01,100.3114333333333333
2019-04-01,99.4964333333333333
2019-07-01,99.3425333333333333
2019-10-01,98.8212333333333333
2020-01-01,97.5507000000000000
2020-04-01,84.4847666666666667
2020-07-01,94.0808000000000000
2020-10-01,95.8215666666666667
2021-01-01,95.8117333333333333
2021-04-01,97.3169333333333333
2021-07-01,98.1478333333333333
