,DATE,CIVPART,CPIAUCSL,FEDFUNDS,GDPC1,IPMAN,UNRATE,M2V,W823RC1
25,1978-04-01,63.133333333333326,64.46666666666667,7.283333333333333,7058.92,45.6591,6.0,1.78,87.9
26,1978-07-01,63.23333333333333,65.96666666666667,8.1,7129.915,46.18066666666667,6.033333333333333,1.795,94.26666666666665
27,1978-10-01,63.46666666666666,67.5,9.58333333333333,7225.75,47.156166666666664,5.9,1.822,95.56666666666666
28,1979-01-01,63.73333333333333,69.2,10.073333333333332,7238.727,47.3595,5.866666666666666,1.832,96.53333333333332
29,1979-04-01,63.43333333333333,71.4,10.18,7246.454,47.2093,5.7,1.835,97.86666666666666
30,1979-07-01,63.666666666666664,73.7,10.946666666666665,7300.281,47.09853333333333,5.866666666666666,1.846,107.6
31,1979-10-01,63.766666666666666,76.03333333333333,13.576666666666666,7318.535,47.10596666666667,5.966666666666667,1.857,108.33333333333331
32,1980-01-01,63.9,79.03333333333333,15.046666666666667,7341.557,47.2139,6.3,1.869,109.33333333333331
33,1980-04-01,63.8,81.7,12.686666666666666,7190.289,44.758133333333326,7.333333333333333,1.847,109.96666666666665
34,1980-07-01,63.7,83.23333333333333,9.836666666666666,7181.743,43.76533333333333,7.666666666666665,1.831,126.93333333333332
35,1980-10-01,63.7,85.56666666666666,15.853333333333332,7315.677,45.82163333333333,7.4,1.874,128.06666666666666
36,1981-01-01,63.96666666666666,87.93333333333332,16.57,7459.022,45.91996666666667,7.433333333333333,1.928,130.73333333333332
37,1981-04-01,64.06666666666666,89.76666666666665,17.78,7403.745,46.262566666666665,7.4,1.9,131.13333333333333
38,1981-07-01,63.7,92.26666666666665,17.576666666666664,7492.405,46.2087,7.4,1.925,146.3
39,1981-10-01,63.766666666666666,93.76666666666665,13.586666666666666,7410.768,44.934466666666665,8.233333333333333,1.888,146.46666666666667
40,1982-01-01,63.766666666666666,94.6,14.226666666666667,7295.631,43.821233333333325,8.833333333333332,1.842,146.76666666666665
41,1982-04-01,64.0,95.96666666666665,14.513333333333332,7328.912,43.61996666666666,9.433333333333332,1.836,147.53333333333333
42,1982-07-01,64.06666666666666,97.63333333333331,11.006666666666666,7300.896,43.19873333333333,9.9,1.825,157.63333333333333
43,1982-10-01,64.13333333333333,97.93333333333331,9.286666666666665,7303.817,42.2262,10.666666666666666,1.804,162.9
44,1983-01-01,63.8,98.0,8.653333333333332,7400.066,43.17146666666667,10.366666666666665,1.745,162.13333333333333
45,1983-04-01,63.93333333333333,99.13333333333331,8.803333333333333,7568.456,44.46136666666666,10.133333333333333,1.753,164.03333333333333
46,1983-07-01,64.23333333333333,100.1,9.46,7719.746,46.11393333333333,9.366666666666665,1.779,163.96666666666667
47,1983-10-01,64.06666666666666,101.1,9.43,7880.794,47.53383333333333,8.533333333333333,1.797,167.6
48,1984-01-01,64.03333333333333,102.53333333333332,9.686666666666666,8034.847,49.0213,7.866666666666665,1.812,170.9333333333333
49,1984-04-01,64.46666666666667,103.5,10.556666666666667,8173.67,49.7622,7.433333333333333,1.82,172.66666666666666
50,1984-07-01,64.46666666666667,104.4,11.39,8252.465,50.169733333333326,7.433333333333333,1.829,172.4333333333333
51,1984-10-01,64.5,105.3,9.266666666666666,8320.199,50.4732,7.3,1.818,176.06666666666666
52,1985-01-01,64.76666666666667,106.26666666666667,8.476666666666665,8400.82,50.46483333333333,7.2333333333333325,1.799,181.53333333333333
53,1985-04-01,64.76666666666667,107.23333333333332,7.923333333333333,8474.787,50.544466666666665,7.3,1.795,181.96666666666664
54,1985-07-01,64.73333333333333,107.9,7.9,8604.22,50.56036666666667,7.2,1.795,185.26666666666665
55,1985-10-01,64.96666666666667,109.0,8.103333333333333,8668.188,50.87553333333333,7.033333333333333,1.792,184.33333333333331
56,1986-01-01,65.0,109.56666666666666,7.826666666666665,8749.127,51.48616666666666,7.033333333333333,1.792,191.06666666666663
57,1986-04-01,65.23333333333333,109.03333333333332,6.92,8788.524,51.3873,7.166666666666666,1.76,192.1
58,1986-07-01,65.36666666666666,109.7,6.206666666666666,8872.601,51.69573333333333,6.966666666666667,1.741,195.86666666666665
59,1986-10-01,65.36666666666666,110.46666666666665,6.266666666666667,8920.193,52.336,6.833333333333333,1.721,195.4333333333333
60,1987-01-01,65.46666666666667,111.8,6.22,8986.367,53.07963333333333,6.6,1.718,198.9
61,1987-04-01,65.53333333333333,113.06666666666666,6.65,9083.256,54.00343333333333,6.266666666666667,1.734,201.63333333333333
62,1987-07-01,65.6,114.26666666666667,6.843333333333333,9162.024,55.018833333333326,6.0,1.751,201.4
63,1987-10-01,65.7,115.33333333333331,6.916666666666666,9319.332,56.5694,5.833333333333333,1.776,201.96666666666664
64,1988-01-01,65.8,116.23333333333332,6.663333333333333,9367.502,56.98213333333333,5.7,1.768,213.46666666666664
65,1988-04-01,65.76666666666667,117.56666666666666,7.156666666666666,9490.594,57.66323333333333,5.466666666666667,1.774,213.5
66,1988-07-01,65.96666666666667,119.0,7.9833333333333325,9546.206,57.81133333333333,5.466666666666667,1.79,214.13333333333333
67,1988-10-01,66.1,120.3,8.47,9673.405,58.4534,5.333333333333333,1.813,214.46666666666664
68,1989-01-01,66.36666666666666,121.66666666666666,9.443333333333332,9771.725,58.7935,5.2,1.84,225.9
69,1989-04-01,66.4,123.63333333333333,9.726666666666665,9846.293,58.3606,5.2333333333333325,1.861,226.76666666666665
70,1989-07-01,66.46666666666667,124.6,9.08333333333333,9919.228,57.90846666666666,5.2333333333333325,1.853,227.8
71,1989-10-01,66.53333333333333,125.86666666666666,8.613333333333333,9938.767,57.95836666666666,5.366666666666666,1.834,229.03333333333333
72,1990-01-01,66.73333333333333,128.03333333333333,8.25,10047.386,58.616633333333326,5.3,1.848,241.03333333333333
73,1990-04-01,66.53333333333333,129.3,8.243333333333332,10083.855,59.0489,5.333333333333333,1.859,243.8
